I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
5551,,2000,1,3,22,34,12.6,33,4.6,,,4.6,,,,,INDIA,,INDIA-BANGLADESH BORDER:  MAHESHKHALI,22.132,92.771,60,,,,,,,,1,,,,,,,,,,,,1,,,100,2
5552,,2000,1,11,23,43,56.4,10,5.1,5.1,4.7,4.9,,,,,CHINA,,CHINA:  LIAONING PROVINCE,40.498,122.994,30,,,,,30,1,,3,3600,4,8800,4,,,,,30,1,,3,3600,4,8800,4
5553,,2000,1,14,23,37,7.8,33,5.9,5.9,5.9,5.4,5.5,,,,CHINA,,CHINA:  YUNNAN PROVINCE:  YAOAN COUNTY,25.607,101.063,30,5,1,,,2528,4,73.5,4,41000,4,,,7,1,,,2528,4,73.5,4,41000,4,,
5554,,2000,2,2,22,58,1.5,33,5.3,5.3,5.3,5.1,,,,,IRAN,,"IRAN:  BARDASKAN, KASHMAR",35.288,58.218,140,1,1,,,15,1,,2,100,2,100,2,1,1,,,15,1,,2,100,2,300,3
5555,,2000,2,7,19,34,57,5,4.5,,,4.5,,,,,SOUTH AFRICA,,SOUTH AFRICA; SWAZILAND:  MBABANE-MANZINI,-26.288,30.888,10,,,,,1,1,,1,,,,,,,,,1,1,,1,,,,
5556,,2000,3,28,11,0,22.5,127,7.6,7.6,7.6,6.8,,,,,JAPAN,,JAPAN:  VOLCANO ISLANDS,22.338,143.73,30,,,,,,,,,,,,,,,,,,,,,,,,
7301,Tsu,2000,4,5,4,36,58.8,38,5.5,5.5,5.4,5.3,,,,,GREECE,,GREECE:  CRETE,34.22,25.69,130,,,,,,,,,,,,,,,,,,,,,,,,
5557,Tsu,2000,5,4,4,21,16.2,26,7.6,7.6,7.5,6.7,,,,,INDONESIA,,"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",-1.105,123.573,170,46,1,,,264,3,30,4,10000,4,,,46,1,,,264,3,30,4,10000,4,,
5558,,2000,5,7,23,10,54.1,5,4.1,,4.1,4.5,,,,,TURKEY,,"TURKEY:  DOGANYOL, PUTURGE",38.164,38.777,140,,,,,,,,2,,,,,,,,,1,1,,2,,,200,3
5559,,2000,5,17,3,25,48.7,10,5.4,5.4,5.3,5.4,,,,,TAIWAN,,TAIWAN:  TAI-CHUNG COUNTY,24.223,121.058,30,3,1,,,13,1,,1,,,,,3,1,,,13,1,,1,,,,
